Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
69	0.76074994	0.2253182	1.0434968	0.72125846	1.526001	-0.48193872	13.04223	0.8510549	0.33422047	1.5322465	-0.46169448	560000	3.7252903e-09	0.14423876	-0.037772447	-0.082959935	1.4978188	0.014646469	0.18937501	79.0	80.01474714279175
70	0.73081136	0.26260966	1.0067809	0.75059104	1.5318125	-0.49591297	12.352848	0.87772316	0.33274308	1.4208232	-0.7435546	568000	-9.313226e-09	0.12689498	-0.03494271	-0.08189498	1.5058548	0.015034605	0.187875	63.0	81.14682030677795
71	0.81212944	0.17311363	1.1310353	0.68007666	1.5352201	-0.5844409	13.321918	0.8568939	0.36582935	1.6084759	-0.83061224	576000	-1.14087015e-08	0.09441248	-0.036862954	-0.060858503	1.4758265	0.0150015615	0.1955	78.0	82.39098501205444
72	0.74322784	0.25677216	1.0210764	0.7440443	1.5349675	-0.48723245	12.363924	0.8851715	0.32455036	1.5416036	-0.70873797	584000	0.0	0.11955878	-0.035953272	-0.07022439	1.4637982	0.012482261	0.1825	79.0	83.54775977134705
73	0.7671119	0.22594365	1.0546637	0.73111665	1.5196811	-0.45282367	12.525641	0.89690435	0.339785	1.6137668	-0.9813393	592000	1.8626451e-09	0.08655405	-0.037748285	-0.05219156	1.4492843	0.012091677	0.1895	79.0	84.76701760292053
74	0.76884675	0.22490326	1.0723801	0.7105272	1.535533	-0.33880922	12.6601305	0.8869749	0.33753827	1.4560115	-0.6725758	600000	1.4901161e-08	0.1166179	-0.034743022	-0.06354952	1.4407727	0.01508744	0.195625	53.0	85.83127284049988
75	0.8061403	0.18691522	1.1226403	0.6874973	1.529561	-0.42218453	13.105704	0.92354715	0.2798851	1.5333688	-0.7051368	608000	7.450581e-09	0.10380664	-0.035497025	-0.06808792	1.4151318	0.014091119	0.18112499	79.0	86.98845958709717
76	0.792886	0.20016955	1.1114832	0.6960123	1.5343229	-0.43331608	12.694079	0.9533103	0.26212507	1.4669297	-0.53291667	616000	0.0	0.12576246	-0.03424651	-0.08817722	1.416573	0.0150365215	0.17925	72.0	88.10149216651917
77	0.73207486	0.26057225	0.9825254	0.7771924	1.5339699	-0.48529437	12.508064	0.8567426	0.38527283	1.4486907	-1.0922042	624000	-3.7252903e-09	0.11986131	-0.035720166	-0.0707232	1.4604025	0.01140606	0.18062499	79.0	89.2680926322937
78	0.76239467	0.22289948	1.0500478	0.72647697	1.5391878	-0.5155445	12.902318	0.820747	0.40287495	1.5666436	-0.6923449	632000	-3.7252903e-09	0.13561639	-0.03762566	-0.09297867	1.4427489	0.015044913	0.19575	69.0	90.55648875236511
79	0.76789623	0.22515929	1.0639862	0.71187025	1.5279468	-0.38980228	12.773026	0.8857201	0.32527724	1.3610667	-0.54649544	640000	0.0	0.118421674	-0.038474698	-0.0847276	1.4401957	0.014288472	0.196125	79.0	91.91101717948914
80	0.75727344	0.24272661	1.0395545	0.74742347	1.5262437	-0.61997944	12.627419	0.82841027	0.3975741	1.3419182	-0.794922	648000	3.7252903e-09	0.13455176	-0.03419128	-0.09690632	1.4100945	0.0122866575	0.18200001	79.0	93.30089855194092
81	0.7651681	0.23483187	1.057617	0.73627007	1.5237484	-0.826146	12.771381	0.9032837	0.3730681	1.7475749	-1.0179774	656000	7.450581e-09	0.12333661	-0.035701826	-0.07240466	1.3856993	0.010822328	0.183375	79.0	94.45285844802856
82	0.73987573	0.23377195	1.0334269	0.7372333	1.5283451	-0.39523014	12.75	0.89777297	0.30746174	1.4744431	-0.5303072	664000	-9.313226e-10	0.16622515	-0.036850743	-0.108231224	1.3840578	0.015051387	0.175625	56.0	95.56000399589539
83	0.7507636	0.20307413	1.0311706	0.74892503	1.5360594	-0.80259305	13.546875	0.7942455	0.40760773	1.3914266	-0.8919686	672000	7.450581e-09	0.18158653	-0.029574923	-0.11083688	1.3996332	0.015015114	0.16025	27.0	96.52022695541382
84	0.67886513	0.25778508	0.9021304	0.80593026	1.5276738	-0.69100434	13.755357	0.7520669	0.41018167	1.5167552	-0.6491295	680000	-5.5879354e-09	0.21953695	-0.026690055	-0.1312108	1.4491475	0.015012086	0.167125	32.0	97.5828104019165
