Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
71	0.6011395	0.33684608	0.80552375	0.78783834	1.5344279	-0.7587516	13.606529	0.64812034	0.35427302	1.4687895	-0.55869985	2304000	-3.6282465e-05	0.18657386	0.016046872	-0.012926124	-0.06726596	1.5639777	0.007439225	0.086062506	79.0	2045.7447361946106
72	0.6951673	0.25888163	0.9485391	0.74089587	1.5384432	-0.57976013	14.381125	0.71784353	0.34929943	1.6098027	-0.6320087	2336000	-5.012611e-06	0.1635155	0.015571954	-0.012693062	-0.050875843	1.5134642	0.00766047	0.085812494	79.0	2075.078043937683
73	0.70071244	0.26786616	0.9467307	0.7462409	1.5339006	-0.4093745	13.88438	0.726988	0.30156925	1.4255307	-0.45289138	2368000	4.3476e-05	0.15535139	0.015462518	-0.012407463	-0.04727648	1.5043253	0.00732768	0.08953125	79.0	2104.4298000335693
74	0.7111082	0.25117436	0.9743028	0.73687404	1.5378673	-0.47790715	14.023809	0.800832	0.3082348	1.6313126	-0.8470077	2400000	-3.96939e-05	0.16546355	0.0151743125	-0.011860121	-0.052002877	1.4725418	0.007813389	0.08584375	79.0	2133.8832199573517
75	0.7012962	0.23714955	0.96888894	0.7414534	1.5312437	-0.7101003	14.322202	0.75401556	0.3046672	1.4813832	-0.9293198	2432000	-7.420266e-05	0.17636395	0.015236871	-0.013144525	-0.05781867	1.4788829	0.0069446308	0.092187494	79.0	2163.4373128414154
76	0.69677526	0.25158465	0.9538199	0.75740707	1.5270855	-0.7717873	13.979718	0.75332046	0.33827627	1.4499549	-1.0528508	2464000	2.1694228e-05	0.16305064	0.015055245	-0.011031184	-0.0524157	1.4636041	0.0062349206	0.07103125	79.0	2192.921148300171
77	0.65727425	0.29458648	0.88514173	0.7730808	1.523566	-0.59895074	13.826352	0.7200526	0.33284634	1.6069412	-0.4960223	2496000	3.5669655e-05	0.16874638	0.014955247	-0.012521059	-0.05442965	1.4567555	0.007075267	0.08584375	79.0	2222.274718761444
78	0.6564486	0.28881627	0.88696814	0.764416	1.5461073	-0.43153065	13.893608	0.70394355	0.34606913	1.5283954	-0.7583489	2528000	-2.577901e-06	0.17159823	0.014869226	-0.012472266	-0.06575894	1.4487014	0.00848729	0.0841875	79.0	2251.627329349518
79	0.7020054	0.24167311	0.96105534	0.7419254	1.5269319	-0.5707626	14.463504	0.75406516	0.33736673	1.827123	-0.5856346	2560000	1.2923963e-05	0.1730737	0.014671872	-0.0131236175	-0.063124225	1.4222963	0.007565272	0.09096875	79.0	2280.98753285408
80	0.7114278	0.26014817	0.9641288	0.7459207	1.5398041	-0.4548664	13.820122	0.7483206	0.30551964	1.461366	-0.5140781	2592000	4.1998923e-05	0.1551494	0.014447425	-0.011709234	-0.052895993	1.4012356	0.0067748902	0.08912501	79.0	2310.348359107971
81	0.7470259	0.20538987	1.0342306	0.7078219	1.5335596	-0.6718345	14.5420475	0.8055088	0.31557253	1.7781395	-0.63900226	2624000	-2.0368956e-05	0.14969102	0.014454529	-0.012588657	-0.0457673	1.4018054	0.008399811	0.09353125	79.0	2339.75345993042
82	0.7228168	0.22496963	1.0016474	0.72755194	1.5315468	-0.48297268	14.12833	0.7743729	0.31230587	1.6056701	-1.0401634	2656000	0.00013115909	0.17947531	0.014390249	-0.013313127	-0.05890148	1.3956443	0.007566952	0.088468745	79.0	2369.1894540786743
